neighborhood,sale_price
Albany Park,295
Andersonville,419
Armour Square,265
Austin,206
Avalon Park,167
Avondale,443
Back of the Yards,115
Belmont Gardens,327
Bridgeport,420
Bronzeville,241
Bucktown,590
Douglas,199
Edgewater,240
Englewood,68
Fuller Park,90
Gold Coast,407
Goose Island,433
Grand Crossing,142
Greater Grand Crossing,133
Humboldt Park,370
Hyde Park,216
Irving Park,347
Kenwood,260
Lake View,407
Lake View East,283
Lincoln Park,550
Lincoln Square,400
Little Italy,285
Logan Square,435
Lower West Side,405
Magnolia Glen,325
Marshall Square,125
McKinley Park,283
Near North Side,395
Near South Side,367
New City,115
North Center,590
North Lawndale,160
North Park,400
Old Irving Park,383
Old Town Triangle,315
Portage Park,325
Pulaski Park,454
Ravenswood Gardens,899
River North,439
South Chicago,79
South Loop,355
South Shore,121
South Side,220
Streeterville,374
Uptown,290
Washington Park,138
West Englewood,54
West Ridge,246
West Town,515
Woodlawn,199
Wrigleyville,456
